"source","target","width_layout"
237,320,1.50204980373383
237,291,1.57212233543396
238,242,1.63524401187897
238,727,1.63524401187897
239,377,1.50860917568207
239,61,1.61775851249695
239,479,1.99368727207184
239,510,1.50860917568207
240,242,1.55308878421783
240,241,1.55308878421783
241,242,1.69140219688416
241,727,1.63524401187897
242,453,1.69140219688416
243,740,1.52370345592499
244,485,1.52370345592499
244,740,1.52370345592499
244,581,1.36004531383514
246,167,1.59527146816254
247,558,1.12615561485291
248,558,1.36004531383514
249,13,1.59527146816254
251,617,1.42895925045013
252,605,1.46165382862091
255,254,1.2809647321701
255,146,1.30524349212646
257,229,1.46165382862091
258,186,1.44545209407806
259,769,1.54220259189606
260,36,1.53245544433594
260,274,1.59527146816254
260,42,1.72076821327209
260,43,1.68539786338806
260,623,1.36004531383514
261,253,1.50204980373383
261,437,1.56538987159729
261,259,1.50204980373383
265,651,1.36004531383514
266,271,1.29900395870209
267,656,1.33154559135437
268,99,1.06303775310516
269,307,1.70133709907532
271,777,1.56538987159729
272,270,1.59527146816254
272,269,1.49604880809784
274,276,1.58145153522491
274,81,1.38932573795319
274,85,1.38932573795319
274,273,1.51430177688599
275,64,1.69140219688416
275,63,1.61090064048767
275,62,1.57931685447693
275,281,1.71551787853241
275,648,1.4932256937027
275,280,1.71551787853241
275,277,1.48545706272125
275,58,1.64122939109802
275,542,1.50590443611145
275,755,1.54641807079315
275,61,1.54641807079315
275,654,1.54220259189606
275,540,1.52370345592499
275,653,1.71551787853241
275,539,1.54641807079315
275,546,1.54641807079315
275,59,1.71551787853241
275,56,1.93015146255493
275,655,2.01004528999329
275,278,1.93015146255493
275,652,1.54641807079315
275,545,1.50204980373383
275,279,1.4932256937027
275,400,1.54828178882599
277,542,1.77585875988007
277,655,1.48545706272125
277,60,1.48545706272125
277,63,1.6983015537262
277,490,1.55308878421783
277,731,1.57212233543396
277,489,1.50590443611145
277,736,1.60882842540741
277,733,1.52370345592499
277,62,1.62404489517212
277,281,1.55308878421783
277,486,1.62404489517212
277,279,1.62404489517212
277,543,1.48545706272125
278,546,1.57931685447693
278,653,1.50204980373383
278,56,1.57931685447693
278,737,1.4932256937027
278,648,1.72076821327209
278,543,1.59527146816254
278,280,1.66076064109802
278,544,1.50204980373383
278,279,1.56538987159729
278,400,1.66855728626251
278,547,1.51430177688599
278,736,1.47851359844208
278,63,1.69140219688416
278,64,1.53432559967041
278,281,1.74638092517853
278,62,1.57931685447693
278,548,1.50204980373383
278,655,1.74638092517853
278,58,1.56538987159729
278,59,1.74638092517853
279,529,1.36004531383514
279,542,1.56916844844818
279,736,1.54220259189606
279,76,1.4932256937027
279,528,1.36004531383514
279,63,1.64122939109802
279,62,1.4932256937027
279,59,1.4932256937027
279,655,1.4932256937027
280,400,1.60725009441376
280,60,1.55308878421783
280,77,1.54641807079315
280,654,1.47851359844208
280,731,1.51578330993652
280,489,1.50590443611145
280,56,1.50204980373383
280,281,1.80675661563873
280,490,1.71551787853241
280,79,1.62873005867004
280,59,1.54641807079315
280,64,1.61090064048767
280,62,1.74638092517853
280,279,1.4932256937027
280,63,1.69140219688416
280,811,1.62873005867004
280,76,1.54641807079315
280,655,1.71551787853241
281,97,1.43369436264038
281,76,1.59527146816254
281,56,1.66076064109802
281,62,2.92079162597656
281,811,1.87326610088348
281,79,1.77585875988007
281,655,1.54641807079315
281,58,1.56538987159729
281,755,1.68317532539368
281,382,1.51211881637573
281,61,1.68317532539368
281,458,1.77585875988007
281,490,1.9024463891983
281,348,1.68317532539368
281,63,1.95649695396423
281,64,1.77585875988007
281,738,1.51211881637573
281,479,1.68317532539368
281,60,1.48545706272125
281,653,1.51211881637573
281,330,1.51211881637573
282,655,1.64122939109802
282,84,1.4932256937027
282,484,1.56538987159729
282,540,1.52370345592499
282,545,1.4932256937027
282,654,1.54220259189606
282,58,1.56538987159729
282,29,1.4932256937027
282,492,1.50590443611145
283,365,1.36004531383514
283,262,1.36004531383514
285,715,1.29114735126495
285,237,1.50204980373383
286,290,1.52370345592499
286,60,1.48545706272125
287,173,1.56029164791107
287,286,1.47636461257935
287,484,1.51211881637573
288,654,1.53245544433594
288,547,1.72892272472382
288,193,1.84495902061462
288,540,1.59527146816254
289,288,1.7997579574585
289,865,1.8195458650589
290,378,1.55308878421783
291,378,1.57212233543396
291,290,1.55308878421783
291,796,1.57212233543396
292,367,1.59527146816254
292,807,1.48545706272125
292,499,1.59527146816254
293,237,1.50204980373383
293,515,1.50204980373383
293,514,1.52370345592499
293,25,1.50204980373383
293,377,1.48545706272125
294,312,2.10989618301392
294,322,1.55308878421783
295,497,1.55308878421783
295,318,1.48545706272125
296,80,1.7433522939682
296,17,1.7433522939682
297,521,1.52370345592499
297,653,1.47636461257935
298,378,1.52370345592499
298,508,1.62404489517212
298,638,1.62404489517212
299,799,1.50860917568207
300,484,1.51211881637573
300,146,1.52370345592499
300,376,1.50860917568207
301,769,1.54220259189606
301,742,1.59527146816254
301,745,1.72892272472382
301,377,1.67844176292419
301,504,1.54220259189606
301,508,1.54220259189606
301,153,1.54220259189606
301,74,1.52370345592499
301,593,1.72892272472382
301,13,1.54220259189606
301,378,1.77585875988007
301,510,1.57212233543396
302,60,1.42110085487366
303,811,1.40366911888123
304,438,1.29114735126495
306,148,1.43913519382477
307,467,1.40754520893097
307,370,1.57212233543396
308,729,1.67844176292419
309,306,1.36004531383514
310,18,1.52370345592499
310,605,1.55308878421783
310,312,1.55308878421783
310,313,1.55308878421783
310,741,1.56538987159729
310,727,1.63524401187897
310,740,1.70918297767639
311,0,1.59527146816254
311,313,1.55308878421783
311,641,1.87326610088348
311,480,1.87326610088348
311,321,1.69140219688416
311,326,1.59527146816254
